Fecha,Valor,statusCode,Valor_lag_1,Valor_lag_7,Valor_lag_30,MA_7,MA_30,MA_90,day_of_week,day_of_month,month,quarter,year,is_month_start,is_month_end,ROC_7,ROC_30,momentum_7,momentum_30,daily_return,volatility_7,volatility_30,range_7,range_30
2018-02-22,594.7,OK,595.63,596.66,606.28,594.144,599.7309090909091,615.5606557377049,3,22,2,1,2018,0,0,-0.32849529045015924,-1.9100085768951502,-1.9599999999999227,-11.579999999999927,-0.15613719926799163,0.41686556370332306,0.48921068456101907,2.9700000000000273,15.490000000000009
2018-02-23,594.73,OK,594.7,592.66,608.15,594.558,599.1209090909091,615.2246774193549,4,23,2,1,2018,0,0,0.34927277022238634,-2.2066924278549616,2.07000000000005,-13.419999999999959,0.0050445602824966684,0.1788343240719494,0.47717230920700715,2.480000000000018,11.970000000000027
2018-02-28,589.15,OK,588.28,595.63,600.37,591.684,597.5377272727272,612.4583606557377,2,28,2,1,2018,0,1,-1.08792371102866,-1.8688475440145291,-6.480000000000018,-11.220000000000027,0.14788876045419563,0.3032925487654879,0.4500850491001783,6.4500000000000455,16.350000000000023
2018-03-01,593.61,OK,589.15,594.7,604.63,591.466,597.0368181818181,611.610655737705,3,1,3,1,2018,1,0,-0.1832856902640012,-1.8226022526173002,-1.0900000000000318,-11.019999999999982,0.7570228295001424,0.5387700601790607,0.4553349849104699,6.4500000000000455,16.139999999999986
2018-03-02,596.15,OK,593.61,594.73,604.42,591.75,596.6609090909091,611.3612903225807,4,2,3,1,2018,0,0,0.23876380878717907,-1.3682538632077024,1.419999999999959,-8.269999999999982,0.42789036572834505,0.5579802507660602,0.47294977554696693,7.8700000000000045,14.970000000000027
2018-03-07,595.93,OK,600.51,589.15,601.26,596.848,596.2418181818182,608.1237704918032,2,7,3,1,2018,0,0,1.1508104896885252,-0.8864717426737223,6.779999999999973,-5.330000000000041,-0.7626850510399574,0.6668423544760701,0.4937055966694055,6.899999999999977,14.790000000000077
2018-03-08,601.91,OK,595.93,593.61,603.07,598.508,596.1890909090909,608.0235483870968,3,8,3,1,2018,0,0,1.3982244234429952,-0.19234914686522275,8.299999999999955,-1.1600000000000819,1.0034735623311475,0.7415758142192018,0.548800836070176,5.980000000000018,14.790000000000077
2018-03-09,605.22,OK,601.91,596.15,601.23,600.3219999999999,596.3704545454545,607.9790476190476,4,9,3,1,2018,0,0,1.5214291705107907,0.663639538945171,9.07000000000005,3.990000000000009,0.5499161004136832,0.7526401863087557,0.5598626217661078,9.290000000000077,16.940000000000055
2018-03-14,602.19,OK,603.85,595.93,603.07,603.3459999999999,596.7913636363636,604.7796774193548,2,14,3,1,2018,0,0,1.0504589465205827,-0.14592004244946555,6.260000000000105,-0.8799999999999955,-0.27490270762605684,0.5619380540707191,0.5031272971963173,3.310000000000059,16.940000000000055
2018-03-15,601.16,OK,602.19,601.91,600.35,603.196,596.8281818181819,604.1362903225807,3,15,3,1,2018,0,0,-0.12460334601518408,0.134921295910706,-0.75,0.8099999999999454,-0.17104236204521506,0.366863223653418,0.4920501910191825,4.060000000000059,16.940000000000055
